Date,Recovered,Confirmed,Death,Doses_admin,People_partially_vaccinated,Vaccinated
1/22/2020,0,0,0,0,0,0
1/23/2020,0,0,0,0,0,0
1/24/2020,0,0,0,0,0,0
1/25/2020,0,0,0,0,0,0
1/26/2020,0,0,0,0,0,0
1/27/2020,0,0,0,0,0,0
1/28/2020,0,0,0,0,0,0
1/29/2020,0,0,0,0,0,0
1/30/2020,0,0,0,0,0,0
1/31/2020,0,0,0,0,0,0
2/1/2020,0,0,0,0,0,0
2/2/2020,0,0,0,0,0,0
2/3/2020,0,0,0,0,0,0
2/4/2020,0,0,0,0,0,0
2/5/2020,0,0,0,0,0,0
2/6/2020,0,0,0,0,0,0
2/7/2020,0,0,0,0,0,0
2/8/2020,0,0,0,0,0,0
2/9/2020,0,0,0,0,0,0
2/10/2020,0,0,0,0,0,0
2/11/2020,0,0,0,0,0,0
2/12/2020,0,0,0,0,0,0
2/13/2020,0,0,0,0,0,0
2/14/2020,0,0,0,0,0,0
2/15/2020,0,0,0,0,0,0
2/16/2020,0,0,0,0,0,0
2/17/2020,0,0,0,0,0,0
2/18/2020,0,0,0,0,0,0
2/19/2020,0,0,0,0,0,0
2/20/2020,0,0,0,0,0,0
2/21/2020,0,0,0,0,0,0
2/22/2020,0,0,0,0,0,0
2/23/2020,0,0,0,0,0,0
2/24/2020,0,0,0,0,0,0
2/25/2020,0,0,0,0,0,0
2/26/2020,0,0,0,0,0,0
2/27/2020,0,0,0,0,0,0
2/28/2020,0,1,0,0,0,0
2/29/2020,0,1,0,0,0,0
3/1/2020,0,1,0,0,0,0
3/2/2020,0,1,0,0,0,0
3/3/2020,0,1,0,0,0,0
3/4/2020,0,1,0,0,0,0
3/5/2020,0,1,0,0,0,0
3/6/2020,0,1,0,0,0,0
3/7/2020,0,1,0,0,0,0
3/8/2020,0,1,0,0,0,0
3/9/2020,0,2,0,0,0,0
3/10/2020,0,2,0,0,0,0
3/11/2020,0,2,0,0,0,0
3/12/2020,0,2,0,0,0,0
3/13/2020,0,2,0,0,0,0
3/14/2020,0,2,0,0,0,0
3/15/2020,0,2,0,0,0,0
3/16/2020,0,2,0,0,0,0
3/17/2020,0,3,0,0,0,0
3/18/2020,1,8,0,0,0,0
3/19/2020,1,8,0,0,0,0
3/20/2020,1,12,0,0,0,0
3/21/2020,1,22,0,0,0,0
3/22/2020,2,30,0,0,0,0
3/23/2020,2,40,1,0,0,0
3/24/2020,2,44,1,0,0,0
3/25/2020,2,51,1,0,0,0
3/26/2020,2,65,1,0,0,0
3/27/2020,3,70,1,0,0,0
3/28/2020,3,89,1,0,0,0
3/29/2020,3,111,1,0,0,0
3/30/2020,8,131,2,0,0,0
3/31/2020,8,135,2,0,0,0
4/1/2020,9,174,2,0,0,0
4/2/2020,20,184,2,0,0,0
4/3/2020,25,210,4,0,0,0
4/4/2020,25,214,4,0,0,0
4/5/2020,33,232,5,0,0,0
4/6/2020,35,238,5,0,0,0
4/7/2020,44,254,6,0,0,0
4/8/2020,44,276,6,0,0,0
4/9/2020,51,288,7,0,0,0
4/10/2020,58,305,7,0,0,0
4/11/2020,70,318,10,0,0,0
4/12/2020,85,323,10,0,0,0
4/13/2020,91,343,10,0,0,0
4/14/2020,99,373,11,0,0,0
4/15/2020,128,407,12,0,0,0
4/16/2020,152,442,13,0,0,0
4/17/2020,159,493,17,0,0,0
4/18/2020,166,542,19,0,0,0
4/19/2020,170,627,21,0,0,0
4/20/2020,188,665,22,0,0,0
4/21/2020,188,665,22,0,0,0
4/22/2020,197,873,28,0,0,0
4/23/2020,197,981,31,0,0,0
4/24/2020,208,1095,32,0,0,0
4/25/2020,222,1182,35,0,0,0
4/26/2020,239,1273,40,0,0,0
4/27/2020,255,1337,40,0,0,0
4/28/2020,255,1532,44,0,0,0
4/29/2020,307,1728,51,0,0,0
4/30/2020,319,1932,58,0,0,0
5/1/2020,351,2170,68,0,0,0
5/2/2020,351,2388,85,0,0,0
5/3/2020,400,2558,87,0,0,0
5/4/2020,417,2802,93,0,0,0
5/5/2020,481,2950,98,0,0,0
5/6/2020,534,3145,103,0,0,0
5/7/2020,601,3526,107,0,0,0
5/8/2020,679,3912,117,0,0,0
5/9/2020,745,4151,128,0,0,0
5/10/2020,778,4399,143,0,0,0
5/11/2020,902,4641,150,0,0,0
5/12/2020,959,4787,158,0,0,0
5/13/2020,1070,4971,164,0,0,0
5/14/2020,1180,5162,167,0,0,0
5/15/2020,1320,5450,171,0,0,0
5/16/2020,1472,5621,176,0,0,0
5/17/2020,1594,5959,182,0,0,0
5/18/2020,1644,6175,191,0,0,0
5/19/2020,1734,6401,192,0,0,0
5/20/2020,1840,6677,200,0,0,0
5/21/2020,1907,7016,211,0,0,0
5/22/2020,2007,7261,221,0,0,0
5/23/2020,2174,7526,221,0,0,0
5/24/2020,2263,7839,226,0,0,0
5/25/2020,2311,8068,233,0,0,0
5/26/2020,2385,8344,249,0,0,0
5/27/2020,2501,8733,254,0,0,0
5/28/2020,2592,8915,259,0,0,0
5/29/2020,2697,9302,261,0,0,0
5/30/2020,2856,9855,273,0,0,0
5/31/2020,3007,10162,287,0,0,0
6/1/2020,3122,10578,299,0,0,0
6/2/2020,3240,10819,314,0,0,0
6/3/2020,3329,11166,315,0,0,0
6/4/2020,3535,11516,323,0,0,0
6/5/2020,3696,11844,333,0,0,0
6/6/2020,3826,12233,342,0,0,0
6/7/2020,3959,12486,354,0,0,0
6/8/2020,4040,12801,361,0,0,0
6/9/2020,4206,13464,365,0,0,0
6/10/2020,4351,13873,382,0,0,0
6/11/2020,4494,14554,387,0,0,0
6/12/2020,4891,15181,399,0,0,0
6/13/2020,5101,15682,407,0,0,0
6/14/2020,5220,16085,420,0,0,0
6/15/2020,5349,16658,424,0,0,0
6/16/2020,5623,17148,455,0,0,0
6/17/2020,5967,17735,469,0,0,0
6/18/2020,6307,18480,475,0,0,0
6/19/2020,6581,19147,487,0,0,0
6/20/2020,6718,19808,506,0,0,0
6/21/2020,6879,20244,518,0,0,0
6/22/2020,7109,20919,525,0,0,0
6/23/2020,7338,21371,533,0,0,0
6/24/2020,7613,22020,542,0,0,0
6/25/2020,7822,22614,549,0,0,0
6/26/2020,8253,23298,554,0,0,0
6/27/2020,8625,24077,558,0,0,0
6/28/2020,9007,24567,565,0,0,0
6/29/2020,9402,25133,573,0,0,0
6/30/2020,9746,25694,590,0,0,0
7/1/2020,10152,26484,603,0,0,0
7/2/2020,10801,27110,616,0,0,0
7/3/2020,11069,27564,628,0,0,0
7/4/2020,11462,28167,634,0,0,0
7/5/2020,11665,28711,645,0,0,0
7/6/2020,11828,29286,654,0,0,0
7/7/2020,12108,29789,669,0,0,0
7/8/2020,12373,30249,684,0,0,0
7/9/2020,12546,30748,689,0,0,0
7/10/2020,12795,31323,709,0,0,0
7/11/2020,13103,31987,724,0,0,0
7/12/2020,13447,32558,740,0,0,0
7/13/2020,13671,33153,744,0,0,0
7/14/2020,13792,33616,754,0,0,0
7/15/2020,13999,34259,760,0,0,0
7/16/2020,14292,34854,769,0,0,0
7/17/2020,14633,35454,772,0,0,0
7/18/2020,14938,36107,778,0,0,0
7/19/2020,15105,36663,789,0,0,0
7/20/2020,15333,37225,801,0,0,0
7/21/2020,15677,37801,805,0,0,0
7/22/2020,15815,38344,813,0,0,0
7/23/2020,16061,38948,833,0,0,0
7/24/2020,16559,39539,845,0,0,0
7/25/2020,16948,39977,856,0,0,0
7/26/2020,17374,40532,858,0,0,0
7/27/2020,18203,41180,860,0,0,0
7/28/2020,18764,41804,868,0,0,0
7/29/2020,19004,42208,873,0,0,0
7/30/2020,19270,42689,878,0,0,0
7/31/2020,19565,43151,879,0,0,0
8/1/2020,20087,43537,883,0,0,0
8/2/2020,20308,43841,888,0,0,0
8/3/2020,20663,44129,896,0,0,0
8/4/2020,31851,44433,910,0,0,0
8/5/2020,32165,44890,927,0,0,0
8/6/2020,32430,45244,930,0,0,0
8/7/2020,32637,45687,936,0,0,0
8/8/2020,33044,46140,942,0,0,0
8/9/2020,33186,46577,945,0,0,0
8/10/2020,33346,46867,950,0,0,0
8/11/2020,33609,47290,956,0,0,0
8/12/2020,33943,47743,956,0,0,0
8/13/2020,34309,48116,966,0,0,0
8/14/2020,35998,48445,973,0,0,0
8/15/2020,36290,48770,974,0,0,0
8/16/2020,36497,49068,975,0,0,0
8/17/2020,36834,49485,977,0,0,0
8/18/2020,37051,49895,981,0,0,0
8/19/2020,37304,50488,985,0,0,0
8/20/2020,37569,50964,992,0,0,0
8/21/2020,37885,51304,996,0,0,0
8/22/2020,38767,51905,997,0,0,0
8/23/2020,38945,52227,1002,0,0,0
8/24/2020,39257,52548,1004,0,0,0
8/25/2020,39964,52800,1007,0,0,0
8/26/2020,40281,53021,1010,0,0,0
8/27/2020,40726,53317,1011,0,0,0
8/28/2020,41017,53477,1011,0,0,0
8/29/2020,41314,53727,1011,0,0,0
8/30/2020,41513,53865,1013,0,0,0
8/31/2020,41638,54008,1013,0,0,0
9/1/2020,42010,54247,1023,0,0,0
9/2/2020,42439,54463,1027,0,0,0
9/3/2020,42627,54588,1048,0,0,0
9/4/2020,42816,54743,1051,0,0,0
9/5/2020,42922,54905,1054,0,0,0
9/6/2020,43013,55005,1057,0,0,0
9/7/2020,43231,55160,1061,0,0,0
9/8/2020,43334,55456,1067,0,0,0
9/9/2020,43610,55632,1070,0,0,0
9/10/2020,43810,55829,1075,0,0,0
9/11/2020,43998,56017,1076,0,0,0
9/12/2020,44088,56177,1078,0,0,0
9/13/2020,44152,56256,1082,0,0,0
9/14/2020,44337,56388,1083,0,0,0
9/15/2020,44430,56478,1088,0,0,0
9/16/2020,47872,56604,1091,0,0,0
9/17/2020,48092,56735,1093,0,0,0
9/18/2020,48305,56956,1094,0,0,0
9/19/2020,48431,57145,1095,0,0,0
9/20/2020,48569,57242,1098,0,0,0
9/21/2020,48674,57437,1100,0,0,0
9/22/2020,48836,57613,1100,0,0,0
9/23/2020,48985,57724,1102,0,0,0
9/24/2020,49098,57849,1102,0,0,0
9/25/2020,49606,58062,1103,0,0,0
9/26/2020,49722,58198,1106,0,0,0
9/27/2020,49794,58324,1108,0,0,0
9/28/2020,49895,58460,1111,0,0,0
9/29/2020,49937,58647,1111,0,0,0
9/30/2020,50358,58848,1112,0,0,0
10/1/2020,50452,59001,1112,0,0,0
10/2/2020,50593,59127,1112,0,0,0
10/3/2020,50718,59287,1113,0,0,0
10/4/2020,50768,59345,1113,0,0,0
10/5/2020,50951,59465,1113,0,0,0
10/6/2020,51308,59583,1113,0,0,0
10/7/2020,51403,59738,1113,0,0,0
10/8/2020,51551,59841,1113,0,0,0
10/9/2020,51614,59992,1113,0,0,0
10/10/2020,51711,60103,1115,0,0,0
10/11/2020,51735,60266,1115,0,0,0
10/12/2020,51943,60430,1115,0,0,0
10/13/2020,52006,60655,1116,0,0,0
10/14/2020,52143,60834,1116,0,0,0
10/15/2020,52194,60982,1116,0,0,0
10/16/2020,52304,61194,1119,0,0,0
10/17/2020,56557,61307,1123,0,0,0
10/18/2020,56611,61440,1125,0,0,0
10/19/2020,56697,61558,1125,0,0,0
10/20/2020,56797,61630,1125,0,0,0
10/21/2020,56880,61667,1125,0,0,0
10/22/2020,56985,61805,1127,0,0,0
10/23/2020,57190,61882,1129,0,0,0
10/24/2020,57285,61930,1129,0,0,0
10/25/2020,57465,61992,1130,0,0,0
10/26/2020,57571,62111,1132,0,0,0
10/27/2020,57916,62224,1135,0,0,0
10/28/2020,58095,62371,1139,0,0,0
10/29/2020,58249,62521,1141,0,0,0
10/30/2020,58430,62691,1144,0,0,0
10/31/2020,58675,62853,1144,0,0,0
11/1/2020,58790,62964,1146,0,0,0
11/2/2020,59328,63036,1147,0,0,0
11/3/2020,59634,63173,1151,0,0,0
11/4/2020,59675,63328,1155,0,0,0
11/5/2020,59748,63508,1155,0,0,0
11/6/2020,59844,63731,1155,0,0,0
11/7/2020,59884,63790,1155,0,0,0
11/8/2020,59910,64090,1154,0,0,0
11/9/2020,60069,64184,1158,0,0,0
11/10/2020,60333,64336,1160,0,0,0
11/11/2020,60737,64516,1162,0,0,0
11/12/2020,60790,64728,1162,0,0,0
11/13/2020,60936,64884,1163,0,0,0
11/14/2020,61029,64996,1163,0,0,0
11/15/2020,61073,65148,1163,0,0,0
11/16/2020,61162,65305,1163,0,0,0
11/17/2020,61337,65457,1163,0,0,0
11/18/2020,61457,65693,1163,0,0,0
11/19/2020,61573,65839,1165,0,0,0
11/20/2020,61782,65982,1165,0,0,0
11/21/2020,61884,66228,1166,0,0,0
11/22/2020,62076,66383,1167,0,0,0
11/23/2020,62241,66439,1168,0,0,0
11/24/2020,62311,66607,1169,0,0,0
11/25/2020,62493,66805,1169,0,0,0
11/26/2020,62585,66974,1169,0,0,0
11/27/2020,62686,67220,1171,0,0,0
11/28/2020,62819,67330,1171,0,0,0
11/29/2020,63055,67412,1173,0,0,0
11/30/2020,63282,67557,1173,0,0,0
12/1/2020,63430,67838,1176,0,0,0
12/2/2020,63839,67960,1177,0,0,0
12/3/2020,64291,68303,1179,0,0,0
12/4/2020,64467,68627,1179,0,0,0
12/5/2020,64650,68937,1180,0,0,0
12/6/2020,64774,69255,1180,0,0,0
12/7/2020,64947,69645,1181,0,0,0
12/8/2020,65110,70195,1182,0,0,0
12/9/2020,65242,70669,1184,0,0,0
12/10/2020,65474,71344,1190,0,0,0
12/11/2020,65722,72140,1190,0,0,0
12/12/2020,65850,72757,1194,0,0,0
12/13/2020,66090,73175,1197,0,0,0
12/14/2020,66314,73374,1197,0,0,0
12/15/2020,66494,74132,1200,0,0,0
12/16/2020,66775,75062,1200,0,0,0
12/17/2020,67110,76207,1201,0,0,0
12/18/2020,67484,77013,1212,0,0,0
12/19/2020,67784,77933,1218,0,0,0
12/20/2020,68303,78434,1221,0,0,0
12/21/2020,68493,78790,1227,0,0,0
12/22/2020,68879,79789,1231,0,0,0
12/23/2020,69274,80922,1236,0,0,0
12/24/2020,69651,81963,1242,0,0,0
12/25/2020,70248,82747,1246,0,0,0
12/26/2020,70495,83576,1247,0,0,0
12/27/2020,71034,84414,1254,0,0,0
12/28/2020,71357,84811,1264,0,0,0
12/29/2020,71937,85560,1267,0,0,0
12/30/2020,73322,86576,1278,0,0,0
12/31/2020,73713,87607,1289,0,0,0
1/1/2021,74373,88587,1294,0,0,0
1/2/2021,74789,89163,1302,0,0,0
1/3/2021,75044,90080,1311,0,0,0
1/4/2021,75699,91351,1318,0,0,0
1/5/2021,76396,92705,1319,0,0,0
1/6/2021,77299,94369,1324,0,0,0
1/7/2021,77982,95934,1330,0,0,0
1/8/2021,78552,97478,1342,0,0,0
1/9/2021,79417,99063,1350,0,0,0
1/10/2021,80030,100087,1358,0,0,0
1/11/2021,80491,101331,1361,0,0,0
1/12/2021,81574,102601,1373,0,0,0
1/13/2021,82555,103999,1382,0,0,0
1/14/2021,83830,105478,1405,0,0,0
1/15/2021,84535,107345,1413,0,0,0
1/16/2021,85367,108943,1420,0,0,0
1/17/2021,89317,110387,1435,0,0,0
1/18/2021,89939,112004,1449,0,0,0
1/19/2021,91200,113305,1464,0,0,0
1/20/2021,92336,114691,1478,0,0,0
1/21/2021,93646,116655,1485,0,0,0
1/22/2021,94130,118138,1490,0,0,0
1/23/2021,95901,120602,1502,0,0,0
1/24/2021,97228,121566,1504,0,0,0
1/25/2021,98359,122996,1507,0,0,0
1/26/2021,99276,124299,1522,0,0,0
1/27/2021,100365,126160,1543,0,0,0
1/28/2021,100853,127024,1547,0,0,0
1/29/2021,102780,128674,1577,0,0,0
1/30/2021,103712,130557,1578,0,0,0
1/31/2021,104989,131242,1586,0,0,0
2/1/2021,106275,131918,1607,0,0,0
2/2/2021,107551,133552,1613,0,0,0
2/3/2021,108657,134690,1618,0,0,0
2/4/2021,110449,136030,1632,0,0,0
2/5/2021,111639,137654,1641,0,0,0
2/6/2021,112557,139242,1647,0,0,0
2/7/2021,113525,139748,1667,0,0,0
2/8/2021,114635,140391,1673,0,0,0
2/9/2021,115755,141447,1694,0,0,0
2/10/2021,116947,142578,1702,0,0,0
2/11/2021,118012,143516,1710,0,0,0
2/12/2021,118866,144521,1734,0,0,0
2/13/2021,120399,145664,1747,0,0,0
2/14/2021,120838,146184,1752,0,0,0
2/15/2021,123009,146928,1761,0,0,0
2/16/2021,124483,148296,1777,0,0,0
2/17/2021,125722,149369,1787,0,0,0
2/18/2021,126417,150246,1803,0,0,0
2/19/2021,127524,150908,1813,0,0,0
2/20/2021,128005,151553,1831,0,0,0
2/21/2021,128619,152074,1839,0,0,0
2/22/2021,129300,152616,1862,0,0,0
2/23/2021,129943,153187,1874,0,0,0
2/24/2021,130818,153842,1885,0,0,0
2/25/2021,131699,154476,1891,0,0,0
2/26/2021,132544,155076,1902,0,0,0
2/27/2021,133256,155417,1905,0,0,0
2/28/2021,133768,155657,1907,0,0,0
3/1/2021,133904,156017,1915,0,0,0
3/2/2021,134551,156496,1923,0,0,0
3/3/2021,135812,156960,1939,0,0,0
3/4/2021,136335,157671,1951,0,0,0
3/5/2021,137025,158042,1954,0,0,0
3/6/2021,137645,158237,1964,0,0,0
3/7/2021,137890,158506,1969,0,0,0
3/8/2021,138502,158906,1982,0,0,0
3/9/2021,139056,159252,1988,0,0,0
3/10/2021,139983,159646,1993,0,0,0
3/11/2021,142404,159933,2001,0,0,0
3/12/2021,144059,160332,2009,0,0,0
3/13/2021,144714,160537,2013,0,0,0
3/14/2021,145399,160657,2013,0,0,0
3/15/2021,145752,160895,2016,8000,8000,0
3/16/2021,146072,161074,2018,8000,8000,0
3/17/2021,146395,161261,2027,8000,8000,0
3/18/2021,146890,161409,2027,8000,8000,0
3/19/2021,147581,161539,2027,8000,8000,0
3/20/2021,147775,161651,2030,8000,8000,0
3/21/2021,147899,161737,2030,8000,8000,0
3/22/2021,148125,161868,2030,8000,8000,0
3/23/2021,148530,162076,2031,8000,8000,0
3/24/2021,148726,162178,2031,277458,277458,0
3/25/2021,149882,162275,2036,277458,277458,0
3/26/2021,149986,162388,2039,277458,277458,0
3/27/2021,150205,162489,2041,277458,277458,0
3/28/2021,150308,162593,2048,513626,513626,0
3/29/2021,150466,162641,2049,513626,513626,0
3/30/2021,151532,162762,2056,513626,513626,0
3/31/2021,151648,162891,2057,718412,718412,0
4/1/2021,151708,162997,2058,818865,818865,0
4/2/2021,151835,163063,2058,818865,818865,0
4/3/2021,151853,163113,2058,818865,818865,0
4/4/2021,151998,163195,2058,818865,818865,0
4/5/2021,152045,163330,2058,818865,818865,0
4/6/2021,153630,163388,2058,964387,964387,0
4/7/2021,153788,163498,2058,964387,964387,0
4/8/2021,154005,163581,2058,964387,964387,0
4/9/2021,154073,163652,2059,964387,964387,0
4/10/2021,154098,163736,2060,964387,964387,0
4/11/2021,154107,163799,2060,964387,964387,0
4/12/2021,154177,163837,2061,964387,964387,0
4/13/2021,154225,163911,2061,964387,964387,0
4/14/2021,154270,164000,2061,1043737,1043737,0
4/15/2021,154285,164080,2061,1051096,1051096,0
4/16/2021,154304,164147,2061,1081548,1081548,0
4/17/2021,154325,164207,2061,1081548,1081548,0
4/18/2021,154332,164233,2061,1096727,1096727,0
4/19/2021,154384,164303,2061,1101827,1101827,0
4/20/2021,154406,164423,2061,1114408,1114408,0
4/21/2021,154441,164488,2061,1133325,1133325,0
4/22/2021,154578,164588,2061,1148168,1148168,0
4/23/2021,154643,164633,2061,1158582,1158582,0
4/24/2021,154687,164684,2061,1167837,1167837,0
4/25/2021,154926,164719,2062,1171515,1171515,0
4/26/2021,154963,164756,2062,1175285,1175285,0
4/27/2021,155012,164912,2063,1181941,1181941,0
4/28/2021,155021,164993,2063,1191563,1191563,0
4/29/2021,155041,165055,2063,1191563,1191563,0
4/30/2021,155101,165110,2063,1191563,1191563,0
5/1/2021,155101,165110,2063,1222109,1222109,0
5/2/2021,155109,165153,2063,1229733,1229733,0
5/3/2021,155371,165199,2063,1236815,1236815,0
5/4/2021,155371,165215,2063,1246845,1246845,0
5/5/2021,155403,165273,2065,1266742,1266742,0
5/6/2021,155424,165301,2065,1289773,1289773,0
5/7/2021,155454,165340,2065,1615787,1615787,0
5/8/2021,156250,165370,2065,1653292,1653292,0
5/9/2021,156297,165419,2065,1665698,1665698,0
5/10/2021,156318,165468,2065,0,0,0
5/11/2021,156358,165515,2065,1713306,1713306,0
5/12/2021,156374,165559,2066,1713306,1713306,0
5/13/2021,156387,165612,2066,1748242,1748242,0
5/14/2021,156399,165661,2066,1767488,1767488,0
5/15/2021,156412,165702,2066,1767488,1767488,0
